Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte,Latitude,Longitude
"Steak Up, Mlati",Western,4.13 km,88000,4.6,Santai,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte,-7.753222914,110.3597965
"Kebab Burger 26, Kotagede",Western,1.8 km,19000,4.3,Santai,Tidak,"Western, Fast food",Tidak,3,2,Disajikan,Ala Carte,-7.825790501,110.3974531
"Pothz Burger, STM Pembangunan",Western,4.48 km,27000,4.6,Santai,Tidak,"Western, Fast food",Tidak,3,1,Disajikan,Ala Carte,-7.772648387,110.3918134
Warung Buto,Chinese,2.2 km,43000,4.7,Santai,Tidak,"Aneka nasi, Chinese, Sate",Tidak,1,1,Disajikan,Ala Carte,-7.804675497,110.3693843
"Mie Surabaya Pak Joko, Gedongkuning Selatan",Chinese,1.62 km,18000,4.7,Santai,Tidak,"Bakmie, Aneka nasi, Chinese",Tidak,4,3,Disajikan,Ala Carte,-7.811684531,110.4022091
Bakso Dan Mie Ayam Barokah 354 Sor Talok,Indonesia,0.75 km,16000,4.6,Santai,Tidak,"Bakmie, Bakso & soto",Tidak,2,1,Disajikan,Ala Carte,-7.808802905,110.3929507
"Mie Kepang Jayakarta, Kusumanegara",Indonesia,1.26 km,42000,4.6,Santai,Ya,"Bakmie, Jajanan, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,-7.801559954,110.3850156
Warung Sop dan Tongseng Ayam Family,Indonesia,3.1 km,17000,4.2,Santai,Tidak,"Bakso & soto, Ayam & bebek",Tidak,2,3,Disajikan,Ala Carte,-7.826945301,110.3636664
"Ono Dimsum, Timoho",Indonesia,2.84 km,17000,4.6,Santai,Tidak,"Bakso & soto, Cepat saji, Jajanan",Tidak,4,1,Disajikan,Ala Carte,-7.787883875,110.3936769
Bakso Dan Seblak Asgar,Indonesia,0.51 km,17000,4.6,Santai,Ya,"Bakso & soto, Cepat saji, Minuman",Tidak,3,1,Disajikan,Ala Carte,-7.751776136,110.3608264
"Tanamera Coffee Roastery, Yogyakarta",Western,4.03 km,75000,4.5,Santai,Tidak,"Beverages, Coffee, Western",Tidak,3,1,Disajikan,Ala Carte,-7.782305712,110.3675446
"Rembo Chick n Steak, Mantrijeron",Western,3.66 km,15000,3.4,Santai,Tidak,"Chicken & duck, Western, Fast food",Tidak,2,1,Disajikan,Ala Carte,-7.820464769,110.3552221
"Oase Cafe & Coffe, Mergangsan",Chinese,1.3 km,22000,4.6,Santai,Tidak,"Chinese, Aneka nasi, Bakmie",Tidak,2,2,Disajikan,Ala Carte,-7.805174202,110.3774995
